Tag No,Tag Description,Tag Type,PSM Critical,Unit,Service,Line no ,Manufacturer,Model,P&ID,Pressure maximum(kg/cm2g) ,Temperature maximum (C) ,ABCInd
HS-4213A,0,HAND SWITCH,,,,,,,,,,
PCV-1620,0,PCV,,,,,,,,,,
RO-218B,0,RO,,,,,,,,,,
HS-301A,0,HAND SWITCH,,,,,,,,,,
HS-311A,0,HAND SWITCH,,,,,,,,,,
XZO-323,0,ON-OFF VALVE POSITION,,,,,,,,,,
LG-420B,0,LEVEL GAUGE,,,,,,,,,,
LV-523A,0,ANGLE CONTROL VALVE,,,,,,,,,,
LT-523A,0,HYDROSTATIC HEAD,,,,,,,,,,
HS-514A,0,HAND SWITCH,,,,,,,,,,
HS-R620B,0,HAND SWITCH,,,,,,,,,,
PSV-003B,0,PRESSURE SAFETY VALVE,,,,,,,,,,
RO-951,0,RO,,,,,,,,,,
RO-950,0,RO,,,,,,,,,,
HS-385,0,HAND SWITCH,,,,,,,,,,
TG-370,0,TEMPERATURE GAUGE,,,,,,,,,,
HS-4136A,0,HAND SWITCH,,,,,,,,,,
HS-4131B,0,HAND SWITCH,,,,,,,,,,
PG-4106,0,PRESSURE GAUGE,,,,,,,,,,
PS-4152,0,PRESSURE SWITCH,,,,,,,,,,
PG-4109,0,PRESSURE GAUGE,,,,,,,,,,
O2-AJB-D61,0,COMMUNICATION CABLE,,,,,,,,,,
O1-AJB-D54,0,COMMUNICATION CABLE,,,,,,,,,,
O1-AJB-D03,0,COMMUNICATION CABLE,,,,,,,,,,
F1-MRD-006,CFU-DCS MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
I7-AJB-D02,0,COMMUNICATION CABLE,,,,,,,,,,
O5-AJB-D05,0,COMMUNICATION CABLE,,,,,,,,,,
I7-AJB-D05,0,COMMUNICATION CABLE,,,,,,,,,,
XV-1521,EXTRACTION FEED TANK TK-1520 INLET LINE,BALL CONTROL VALVE,Y,,EXTRACTION FEED TANK TK-1520 INLET LINE,"6""HL 17001-B51A",Tyco,E0126-625H,,30,90,
XV-2051B,FUEL GAS,BUTTERFLY CONTROL VALVE,Y,,FUEL GAS,,FISHER,A41,,6.5,120,
XV-2052C,FUEL GAS,BALL CONTROL VALVE,Y,,FUEL GAS,,CAMERON,310F-B12B-CS-42-CS,,6.5,120,
XV-2053A,FUEL GAS,BUTTERFLY CONTROL VALVE,Y,,FUEL GAS,,FISHER,A41,,65,120,
XV-2064A,,BALL CONTROL VALVE,Y,,,,CAMERON,310F-B122-CS-42-CS,,65,120,
XV-2065B,,BALL CONTROL VALVE,Y,,,,CAMERON,310F-B122-CS-42-CS,,65,120,
XV-2071B,,BALL CONTROL VALVE,Y,,,,VELAN,F07-10T02-B12A,,65,350,
XV-2083B,,BALL CONTROL VALVE,Y,,,,CAMERON,310F-B12B-CS-42-CS,,65,160,
XV-2087A,,BALL CONTROL VALVE,Y,,,,CAMERON,310F-B122-CS-42-CS,,65,120,
XV-2088B,,BALL CONTROL VALVE,Y,,,,CAMERON,310F-B122-CS-42-CS,,65,120,
XV-493-02,CT-460 TURBINE TRIP SOV B,CONTROL VALVE POSITION,,,CT-460 TURBINE TRIP SOV B,,,,,,,
XV-493-04,CT-460 TURBINE TRIP SOV D,CONTROL VALVE POSITION,,,CT-460 TURBINE TRIP SOV D,,,,,,,
XV-502AX,FROM Z-440 TO R-520A/B,BALL CONTROL VALVE,,,FROM Z-440 TO R-520A/B,"2""H 4006-B24A",KTM,EB12-625E,,44.8,65,
XV-504AX,R-520A/B OUTLET TO E-524,BUTTERFLY CONTROL VALVE,,,R-520A/B OUTLET TO E-524,"18""HV 5008-B13A",VANESSA,30000,,26.4,240,
XV-505B,R-520A/B OUTLET TO E-524,BALL CONTROL VALVE,,,R-520A/B OUTLET TO E-524,"8""HV 5008-B13K-H",KTM,E1126-315H,,26.4,,
RO-2022,0,RO,,,,,,,,,,
RO-2011,0,RO,,,,,,,,,,
PSV-2052,Vac relief valve,PRESSURE SAFETY VALVE,,,,,,,,,,
PDT-2053B,0,PRESSURE DIFFERENTIAL TRANSMITTER,,,,,,,,,,
PT-2057B,0,PRESSURE TRANSMITTER,,,,,,,,,,
AE-2053,0,SAMPLING PROBE,,,,,,,,,,
AE-2205A,0,SAMPLING PROBE,,,,,,,,,,
PG-2441A,0,PRESSURE GAUGE,,,,,,,,,,
PT-2410G,0,PRESSURE TRANSMITTER,,,,,,,,,,
PG-2421B,0,PRESSURE GAUGE,,,,,,,,,,
PSV-2410,Globe control valve,PRESSURE SAFETY VALVE,,,,,,,,,,
AE-2404,0,SAMPLING PROBE,,,,,,,,,,
PG-2416,0,PRESSURE GAUGE,,,,,,,,,,
PG-2417,0,PRESSURE GAUGE,,,,,,,,,,
PG-2424A,0,PRESSURE GAUGE,,,,,,,,,,
XV-2425A,0,BUTTERFLY ON-OFF VALVE,,,,,,,,,,
PT-2430,0,PRESSURE TRANSMITTER,,,,,,,,,,
FT-2420,0,DIFF. PRESSURE,,,,,,,,,,
FT-2424,0,DIFF. PRESSURE,,,,,,,,,,
LG-2640A,0,LEVEL GAUGE,,,,,,,,,,
RO-2640A,0,RO,,,,,,,,,,
HS-2641A,0,HAND SWITCH,,,,,,,,,,
XT-2641L,0,VIBRATION & SPEED,,,,,,,,,,
HS-2640AA,0,HAND SWITCH,,,,,,,,,,
TT-2640A,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
XT-2641C,0,VIBRATION & SPEED,,,,,,,,,,
XV-2641C,0,BUTTERFLY ON-OFF VALVE,,,,,,,,,,
HS-2640CA,0,HAND SWITCH,,,,,,,,,,
TT-2641C,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
XZO-2641D,0,ON-OFF VALVE POSITION,,,,,,,,,,
TT-2640E,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
HS-2641IA,0,HAND SWITCH,,,,,,,,,,
XT-2640I,0,VIBRATION & SPEED,,,,,,,,,,
XV-2642J,0,BALL ON-OFF VALVE,,,,,,,,,,
XZC-2642K,0,ON-OFF VALVE POSITION,,,,,,,,,,
ZT-692-02A,COMPRESSOR AXIAL POSITION(A),VIBRATION & SPEED,,,COMPRESSOR AXIAL POSITION(A),,,,,,,
ZT-FV2054B,,VIBRATION & SPEED,,,,,AEE,,,,,
ZT-FV2070B,,VIBRATION & SPEED,,,,,,,,,,
ZT-LV2054A,,VIBRATION & SPEED,,,,,AEE,,,,,
ZT-TV2059A,,VIBRATION & SPEED,,,,,AEE,,,,,
ATG-0613,0,GAS DETECTOR,,,,,,,,,,
PSV-131X-AA,Angle press relief valve,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-132X-AA,Angle press relief valve,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-132X-BC,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-3002B,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-3003B,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-3004,0,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-4031B,0,PRESSURE SAFETY VALVE,,,,,,,,,,
TE-130X-A,0,RTD,,,,,,,,,,
TE-138X-A,0,RTD,,,,,,,,,,
RO-2027,0,RO,,,,,,,,,,
HV-2085,0,BALL CONTROL VALVE,,,,,,,,,,
PT-2071,0,PRESSURE TRANSMITTER,,,,,,,,,,
PCV-2069,0,PCV,,,,,,,,,,
PG-2055,0,PRESSURE GAUGE,,,,,,,,,,
PT-2062B,0,PRESSURE TRANSMITTER,,,,,,,,,,
PCV-2070,0,PCV,,,,,,,,,,
PDG-2051,0,PRESSURE DIFFERENTIAL GAUGE,,,,,,,,,,
AE-2052,0,SAMPLING PROBE,,,,,,,,,,
PG-2116,0,PRESSURE GAUGE,,,,,,,,,,
PSV-2150A,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
AE-2205C,0,SAMPLING PROBE,,,,,,,,,,
PG-2420B,0,PRESSURE GAUGE,,,,,,,,,,
LG-2413,0,LEVEL GAUGE,,,,,,,,,,
PG-2431A,0,PRESSURE GAUGE,,,,,,,,,,
XV-2427A,0,BUTTERFLY ON-OFF VALVE,,,,,,,,,,
PT-2429,0,PRESSURE TRANSMITTER,,,,,,,,,,
LT-2420,0,HYDROSTATIC HEAD,,,,,,,,,,
HZCL-532,T-520/M-520 BYPASS,CONTROL VALVE POSITION,,,T-520/M-520 BYPASS,,,,,,,
HZCL-531,E-520A/V TO T-520,CONTROL VALVE POSITION,,,E-520A/V TO T-520,,,,,,,
HZC-515,P-520A/B SUCTION,CONTROL VALVE POSITION,,,P-520A/B SUCTION,,WESTLOCK,2249-BY-00-2200-00,,,,
HS-533B,M-520 OUTLET,LOCAL PANEL,,,M-520 OUTLET,,,,,,,
HZOL-533,M-520 OUTLET,CONTROL VALVE POSITION,,,M-520 OUTLET,,,,,,,
TT-533,E-540A T/S OUTLET TO D-540,TEMPERATURE TRANSMITTER,Y,,E-540A T/S OUTLET TO D-540,,Yokogawa,YTA320-EA2DD,,,,A
XV-507,T-540 FEED,BUTTERFLY CONTROL VALVE,Y,,T-540 FEED,"18""HV 5042-B11Q",VANESSA,30000,,26.4,-45,A
FT-520,D-540 OVERHEAD,DIFF. PRESSURE,N,,D-540 OVERHEAD,"3""HV 5065-B11Q-C",Yokogawa,EJA110A,,19.4,,A
LT-511,D-540,HYDROSTATIC HEAD,N,,D-540,,Yokogawa,EJA110A,,19.4,-45,A
LIC-513,E-546 S/S,FLOW IMAGE TAG,,,E-546 S/S,,,,,,,
TI-541,T-540 OVERHEAD,ANALYZER IMAGE TAG,,,T-540 OVERHEAD,,,,,,,
PSV-577,Process Service (Normal) / Product C2 From T-540,PRESSURE SAFETY VALVE,Y,,Process Service (Normal) / Product C2 From T-540,"3/4"" E 5005-B11Q-C",Anderson Greenwood C,9611112A/SPL,,,,B
PEV-521B,T-540 OVERHEAD,CONTROL VALVE POSITION,Y,,T-540 OVERHEAD,,,,,,,C
HZO-511,HV-511 OPEN,CONTROL VALVE POSITION,Y,,HV-511 OPEN,,,,,,,C
TI-548,E-547 T/S OUTLET,ANALYZER IMAGE TAG,,,E-547 T/S OUTLET,,,,,,,
HZCL-511,HV-511 CLOSE,CONTROL VALVE POSITION,,,HV-511 CLOSE,,,,,,,
HZA-513,HV-513 80% OPEN,ANALYZER IMAGE TAG,,,HV-513 80% OPEN,,,,,,,
TW-556,E-562 TUBE SIDE INLET,THERMOWELL,N,,E-562 TUBE SIDE INLET,"14""C2R 5003-B13A",WIKA,TW10,,29.5,100,C
I3-AJB-D04 (20P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D10 (40P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D30 (40P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D315 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-D502(BV),0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D515(BV),0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-E01 (20P),0,JUNCTION BOX,,,,,,,,,,
I3-AJB-F02 (20P),0,JUNCTION BOX,,,,,,,,,,
I3-CRAUX-F2-01,0,COMMUNICATION CABLE,,,,,,,,,,
I3-SJB-D102 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-SJB-E301(BV),0,COMMUNICATION CABLE,,,,,,,,,,
I3-SJB-E302(BV),0,COMMUNICATION CABLE,,,,,,,,,,
I3-SJB-E501 (BV),0,JUNCTION BOX,,,,,,,,,,
I3-SJB-E501(BV),0,COMMUNICATION CABLE,,,,,,,,,,
I3-TJB-D611A2-2,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D21 (40P),0,JUNCTION BOX,,,,,,,,,,
I4-AJB-D24 (40P),0,JUNCTION BOX,,,,,,,,,,
I4-AJB-E01 (20P),0,JUNCTION BOX,,,,,,,,,,
I4-BJB-D01-1,0,COMMUNICATION CABLE,,,,,,,,,,
I4-DJB-D01 (30P),0,JUNCTION BOX,,,,,,,,,,
I4-DJB-D03 (40P),0,JUNCTION BOX,,,,,,,,,,
I5-AJB-D02 (40P),0,JUNCTION BOX,,,,,,,,,,
I5-AJB-D23 (20P),0,JUNCTION BOX,,,,,,,,,,
I5-AJB-E17 (40P),0,JUNCTION BOX,,,,,,,,,,
I5-SJB-E02 (20P),0,JUNCTION BOX,,,,,,,,,,
I6-AJB -D04,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D08,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D09,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D36,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D38,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D76,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D86,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E02,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-E12,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-E04,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-E12,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-D20,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D30,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D17,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D26,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D12,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-D15,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D28,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D24,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-D12,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-D05,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-D10,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D04,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-A05,0,COMMUNICATION CABLE,,,,,,,,,,
F4-MRE-001,ARU-ESD MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
F1-MRE-001,CFU-ESD MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
F1-DCS-002,CFU-DCS SYSTEM CABINET FCS0202,CONTROL CABINET,,,,,,,,,,
I7-SJB-E04,0,COMMUNICATION CABLE,,,,,,,,,,
F3-ESD-005,OCU-ESD SYSTEM CABINET SCS0421,CONTROL CABINET,,,,,,,,,,
I7-DJB-D16,0,COMMUNICATION CABLE,,,,,,,,,,
F2-MRE-002,ORU-ESD MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
I2-AJB-E123,0,COMMUNICATION CABLE,,,,,,,,,,
I3-TJB-D313A1,0,COMMUNICATION CABLE,,,,,,,,,,
I4-DJB-D06,0,COMMUNICATION CABLE,,,,,,,,,,
I3-MJB-A312B,0,COMMUNICATION CABLE,,,,,,,,,,
I3-MJB-A313A,0,COMMUNICATION CABLE,,,,,,,,,,
F2-TCS-M001,C-460 SYSTEM CABINET,CONTROL CABINET,,,,,,,,,,
I3-MJB-A411B,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D401,0,COMMUNICATION CABLE,,,,,,,,,,
XZC-2641F,0,ON-OFF VALVE POSITION,,,,,,,,,,
HS-2641FB,0,HAND SWITCH,,,,,,,,,,
XZO-2641G,0,ON-OFF VALVE POSITION,,,,,,,,,,
XT-2641F,0,VIBRATION & SPEED,,,,,,,,,,
TT-2641F,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
XV-2641H,0,BUTTERFLY ON-OFF VALVE,,,,,,,,,,
XZC-2642I,0,ON-OFF VALVE POSITION,,,,,,,,,,
XZO-2642I,0,ON-OFF VALVE POSITION,,,,,,,,,,
HS-2642I,0,HAND SWITCH,,,,,,,,,,
HS-2640HA,0,HAND SWITCH,,,,,,,,,,
HS-2641HA,0,HAND SWITCH,,,,,,,,,,
XZO-2641J,0,ON-OFF VALVE POSITION,,,,,,,,,,
XT-2641J,0,VIBRATION & SPEED,,,,,,,,,,
HS-2642J,0,HAND SWITCH,,,,,,,,,,
PCV-2642,0,PCV,,,,,,,,,,
PG-2644,0,PRESSURE GAUGE,,,,,,,,,,
PCV-2641,0,PCV,,,,,,,,,,
AE-2640A,0,SAMPLING PROBE,,,,,,,,,,
XZC-2643C,0,ON-OFF VALVE POSITION,,,,,,,,,,
XV-2643D,0,BALL ON-OFF VALVE,,,,,,,,,,
RO-2643H,0,RO,,,,,,,,,,
HS-2643H,0,HAND SWITCH,,,,,,,,,,
XZO-2643I,0,ON-OFF VALVE POSITION,,,,,,,,,,
XV-2643K,0,BALL ON-OFF VALVE,,,,,,,,,,
XV-2643L,0,BALL ON-OFF VALVE,,,,,,,,,,
HS-2801B,0,HAND SWITCH,,,,,,,,,,
PG-2852B,0,PRESSURE GAUGE,,,,,,,,,,
TS-2830A,0,TEMPERATURE SWITCH,,,,,,,,,,
PT-2840B,0,PRESSURE TRANSMITTER,,,,,,,,,,
TT-2836C,0,TEMPERATURE TRANSMITTER,,,,,,,,,,
PG-2834C,0,PRESSURE GAUGE,,,,,,,,,,
PSV-2831C,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
AE-3081,0,SAMPLING PROBE,,,,,,,,,,
PG-3053,0,PRESSURE GAUGE,,,,,,,,,,
AE-3320,0,SAMPLING PROBE,,,,,,,,,,
I6-AJB -D69,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D78,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D82,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D83,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D84,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D85,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D90,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -D98,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E05,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E07,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E08,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E12,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E16,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E26,0,COMMUNICATION CABLE,,,,,,,,,,
I6-AJB -E30,0,COMMUNICATION CABLE,,,,,,,,,,
I6-DJB -D06,0,COMMUNICATION CABLE,,,,,,,,,,
I6-DJB -D23,0,COMMUNICATION CABLE,,,,,,,,,,
I6-DJB -E08,0,COMMUNICATION CABLE,,,,,,,,,,
I7-AJB-D07 (40P),0,JUNCTION BOX,,,,,,,,,,
I7-AJB-D14 (40P),0,JUNCTION BOX,,,,,,,,,,
I7-AJB-E03 (40P),0,JUNCTION BOX,,,,,,,,,,
I7-AJB-E14 (30P),0,JUNCTION BOX,,,,,,,,,,
I7-AJB-E20 (30P),0,JUNCTION BOX,,,,,,,,,,
I7-AJB-E32 (40P),0,JUNCTION BOX,,,,,,,,,,
I7-DJB-D09 (30P),0,JUNCTION BOX,,,,,,,,,,
I7-DJB-D14 (40P),0,JUNCTION BOX,,,,,,,,,,
I7-DJB-D17 (40P),0,JUNCTION BOX,,,,,,,,,,
I7-DJB-F01 (40P),0,JUNCTION BOX,,,,,,,,,,
I7-GJB-F03 (30P),0,JUNCTION BOX,,,,,,,,,,
I7-SJB-D02 (20P),0,JUNCTION BOX,,,,,,,,,,
I7-SJB-E03 (30P),0,JUNCTION BOX,,,,,,,,,,
LCP2800A-DO,0,JUNCTION BOX,,,,,,,,,,
LCS-CT2050A,0,JUNCTION BOX,,,,,,,,,,
I7-AJB-D11,0,COMMUNICATION CABLE,,,,,,,,,,
I7-AJB-E09,0,COMMUNICATION CABLE,,,,,,,,,,
I7-AJB-E29,0,COMMUNICATION CABLE,,,,,,,,,,
F3-MRD-002,OCU-DCS MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
O1-AJB-D57,0,COMMUNICATION CABLE,,,,,,,,,,
O6-AJB-E07,0,JUNCTION BOX,,,,,,,,,,
O5-AJB-E01,0,JUNCTION BOX,,,,,,,,,,
O2-AJB-D06,0,COMMUNICATION CABLE,,,,,,,,,,
O3-AJB-D05,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-E09,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-E10,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-E08,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-E06,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D03,0,COMMUNICATION CABLE,,,,,,,,,,
I4-AJB-D17,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-D09,0,COMMUNICATION CABLE,,,,,,,,,,
I5-AJB-D06,0,COMMUNICATION CABLE,,,,,,,,,,
I2-AJB-D25,0,COMMUNICATION CABLE,,,,,,,,,,
I2-AJB-D02,0,COMMUNICATION CABLE,,,,,,,,,,
I3-AJB-F02,0,COMMUNICATION CABLE,,,,,,,,,,
F1-IRE-001,CFU-ESD INTERPOSING RELAY,CONTROL CABINET,,,,,,,,,,
F1-MRE-004,CFU-ESD MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
F3-MRE-004,OCU-ESD MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
I7-DJB-D05,0,COMMUNICATION CABLE,,,,,,,,,,
I7-DJB-D07,0,COMMUNICATION CABLE,,,,,,,,,,
I7-DJB-E02,0,COMMUNICATION CABLE,,,,,,,,,,
I7-DJB-D09,0,COMMUNICATION CABLE,,,,,,,,,,
I7-SJB-D05,0,COMMUNICATION CABLE,,,,,,,,,,
I7-DJB-D12,0,COMMUNICATION CABLE,,,,,,,,,,
I7-DJB-D11,0,COMMUNICATION CABLE,,,,,,,,,,
I7-AJB-D172,0,JUNCTION BOX,,,,,,,,,,
F3-MRF-001,OCU-FGS MARSHALLING CABINET,CONTROL CABINET,,,,,,,,,,
XV-593-03,CT-560 TURBINE TRIP SOV,CONTROL VALVE POSITION,,,CT-560 TURBINE TRIP SOV,,,,,,,
XV-601BX,D-620 FEED,BALL CONTROL VALVE,,,D-620 FEED,"8""HL 6031-B11Q",KTM,E1126-505H,,38,,
XV-602,R-620A/B O/L TO FLARE,BALL CONTROL VALVE,Y,,R-620A/B O/L TO FLARE,"4""HL 6042-B11Q",KTM,E1126-505H,,38,,A
XV-7650,FUEL GAS TO H-760 BURNER,BALL CONTROL VALVE,Y,,FUEL GAS TO H-760 BURNER,"4""FG 17007-A13A-ST",KTM,,,,,
XVX-493-04,CT-460 TURBINE TRIP SOV D,OTHER ANALYZER,,,CT-460 TURBINE TRIP SOV D,,,,,,,
XVX-693-01,CT-660 TURBINE TRIP SOV A,OTHER ANALYZER,,,CT-660 TURBINE TRIP SOV A,,,,,,,
XY-694,CT-660 TURNING GEAR ENGAGED,SPECIAL VALVE INSTRUMENT,Y,,CT-660 TURNING GEAR ENGAGED,,,,,,,C
XZ-113B-07,Retractable igniter burner #7,ACTUATOR,Y,,Retractable igniter burner #7,,,,,,,C
XZ-113C-10,Retractable igniter burner #10,ACTUATOR,Y,,Retractable igniter burner #10,,,,,,,C
XZ-113D-08,Retractable igniter burner #8,ACTUATOR,Y,,Retractable igniter burner #8,,,,,,,C
XZ-113E-08,Retractable igniter burner #8,ACTUATOR,Y,,Retractable igniter burner #8,,,,,,,C
XZ-113G-09,Retractable igniter burner #9,ACTUATOR,Y,,Retractable igniter burner #9,,,,,,,C
XZA-394,CT-300 TURNING GEAR ENGAGED,OTHER IMAGE TAG,,,CT-300 TURNING GEAR ENGAGED,,,,,,,
XZA-598,MANUAL BV ALL INTERRUPT,ANALYZER IMAGE TAG,,,MANUAL BV ALL INTERRUPT,,,,,,,
XZA-693,CT-660 TURBINE T&T VALVE FULL CLOSE,ANALYZER IMAGE TAG,,,CT-660 TURBINE T&T VALVE FULL CLOSE,,,,,,,
XZA-698,MANUAL BV ALL INTERRUPT,ANALYZER IMAGE TAG,,,MANUAL BV ALL INTERRUPT,,,,,,,
XZC-110E,Sidewall burners leak test valve,CONTROL VALVE POSITION,Y,,Sidewall burners leak test valve,,Westlock model Magnu,,,,,C
FIC-524,E-501 S/S OUTLET,FLOW IMAGE TAG,,,E-501 S/S OUTLET,,,,,,,
LG-540,D-564,LEVEL GAUGE,N,,D-564,,Magnetrol,XABC-ACL2-2AP/200,,29.5,,C
FZOL-523,C-560 3RD DISCHARGE,CONTROL VALVE POSITION,,,C-560 3RD DISCHARGE,,,,,,,
LT-521C,D-562 LEVEL,HYDROSTATIC HEAD,N,,D-562 LEVEL,,Yokogawa,EJX110A,,11.6,-101,A
PG-674B,F-600A/B UPSTREAM,PRESSURE GAUGE,N,,F-600A/B UPSTREAM,"8""HL 6001-A13A-H",WIKA,232.30.100,,9.3,115,C
LT-600,T-600,HYDROSTATIC HEAD,N,,T-600,,ROSEMOUNT,3051 S AM-1 PG4 A-2B11 AZER 10E 1M9 Q4R8T1,,20.7,115,A
PDI-602,T-600 DIFF. PRESSURE,PRESSURE IMAGE TAG,,,T-600 DIFF. PRESSURE,,,,,,,
FEV-602,E-605A/B S/S INLET FROM LP STEAM HEADER,CONTROL VALVE POSITION,Y,,E-605A/B S/S INLET FROM LP STEAM HEADER,,,,,,,C
PSV-602A,Steam and Condensate Systems / E-605A Steam Inlet,PRESSURE SAFETY VALVE,Y,,Steam and Condensate Systems / E-605A Steam Inlet,"1"" LS2 6031-A12A",Anderson Greenwood C,1 D 2 JOS-H-E-SPL-15-C,,,,B
TT-602B,T-600 TRAY #37,TEMPERATURE TRANSMITTER,Y,,T-600 TRAY #37,,Yokogawa,YTA320-EA2DD,,,,A
TT-602D,T-600 TRAY #12 LOWER,TEMPERATURE TRANSMITTER,Y,,T-600 TRAY #12 LOWER,,Yokogawa,YTA320-EA2DD,,,,A
PT-600B,E-600 T.S. IN FROM T-600 OVHD,PRESSURE TRANSMITTER,Y,,E-600 T.S. IN FROM T-600 OVHD,"16""HV 6000-A13A-D",Yokogawa,EJX430A,,9,65,A
LIC-601B,D-600,FLOW IMAGE TAG,,,D-600,,,,,,,
HZC-601,D-601 BOTTOM TO P-600A/B,CONTROL VALVE POSITION,Y,,D-601 BOTTOM TO P-600A/B,,WESTLOCK,2249-BY-00-2200-00,,,,C
AI-602B,,ANALYZER IMAGE TAG,,,,,,,,,,
HS-2640JB,0,HAND SWITCH,,,,,,,,,,
HS-2640K,0,HAND SWITCH,,,,,,,,,,
PV-2642K,0,GLOBE CONTROL VALVE,,,,,,,,,,
PV-2642F,0,GLOBE CONTROL VALVE,,,,,,,,,,
XV-2643C,0,BALL ON-OFF VALVE,,,,,,,,,,
PDG-2851A,0,PRESSURE DIFFERENTIAL GAUGE,,,,,,,,,,
LG-2830A,0,LEVEL GAUGE,,,,,,,,,,
HS-2836B,0,HAND SWITCH,,,,,,,,,,
TG-2837B,0,TEMPERATURE GAUGE,,,,,,,,,,
TG-2836A,0,TEMPERATURE GAUGE,,,,,,,,,,
LS-2830C,0,LEVEL SWITCH,,,,,,,,,,
PSV-3078B,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
PSV-3070A,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
RO-3072B,0,RO,,,,,,,,,,
HS-4035B,0,HAND SWITCH,,,,,,,,,,
PSV-2082C,Angle filled system temp reg,PRESSURE SAFETY VALVE,,,,,,,,,,
ST-102,0,VIBRATION & SPEED,,,,,,,,,,
AT-108B,0,MAIN ANALYZER,,,,,,,,,,
AT-108C,0,MAIN ANALYZER,,,,,,,,,,
